City,Country,Climate-related hazards,Current probability of hazard,Current magnitude of impact of hazard,Expected future change in hazard intensity,Expected future change in hazard frequency,Population,City Location
Chicago,United States of America,Extreme wind,Low,Medium Low,Increasing,Increasing,2746388,"41.8781, -87.6298 "
Chicago,United States of America,Heavy precipitation,Medium High,Medium High,Increasing,Increasing,2746388,"41.8781, -87.6298 "
Chicago,United States of America,River flooding,Low,Medium,Increasing,Increasing,2746388,"41.8781, -87.6298 "
Chicago,United States of America,Snow and ice,Medium High,Medium,Increasing,Increasing,2746388,"41.8781, -87.6298 "
Chicago,United States of America,Urban flooding,Medium High,Medium High,Increasing,Increasing,2746388,"41.8781, -87.6298 "
Medellin,Colombia,Extreme heat,Medium,Medium,Increasing,Increasing,2612958,"6.22729, -75.5735 "
Medellin,Colombia,Fire weather (risk of wildfires),Medium High,Medium High,Increasing,Increasing,2612958,"6.22729, -75.5735 "
Medellin,Colombia,Heavy precipitation,Medium High,Medium High,Increasing,Increasing,2612958,"6.22729, -75.5735 "
Medellin,Colombia,Infectious disease,Medium,Medium,Increasing,Decreasing,2612958,"6.22729, -75.5735 "
Medellin,Colombia,Mass movement,High,High,Increasing,Increasing,2612958,"6.22729, -75.5735 "
Medellin,Colombia,Urban flooding,High,High,Increasing,Increasing,2612958,"6.22729, -75.5735 "
Houston,United States of America,Air pollution,High,Medium,Do not know,Do not know,2304580,"29.7602, -95.3694 "
Houston,United States of America,Drought,High,Medium,Increasing,Increasing,2304580,"29.7602, -95.3694 "
Houston,United States of America,Extreme heat,High,Medium,Increasing,Increasing,2304580,"29.7602, -95.3694 "
Houston,United States of America,Heavy precipitation,High,High,Increasing,None,2304580,"29.7602, -95.3694 "
Houston,United States of America,Hurricanes/cyclones/typhoons,High,High,Increasing,Increasing,2304580,"29.7602, -95.3694 "
Houston,United States of America,Storm,High,Medium High,Increasing,Increasing,2304580,"29.7602, -95.3694 "
Houston,United States of America,Urban flooding,High,High,Increasing,None,2304580,"29.7602, -95.3694 "
Paris,France,Drought,Medium High,High,Increasing,Increasing,2210875,"48.8566, 2.35222 "
Paris,France,Extreme heat,High,High,Increasing,Increasing,2210875,"48.8566, 2.35222 "
Paris,France,Extreme wind,Low,Medium Low,Do not know,Do not know,2210875,"48.8566, 2.35222 "
Paris,France,Heavy precipitation,Medium Low,Medium High,Do not know,Decreasing,2210875,"48.8566, 2.35222 "
Paris,France,Infectious disease,Low,Low,Increasing,Increasing,2210875,"48.8566, 2.35222 "
Paris,France,River flooding,Medium,High,Do not know,Increasing,2210875,"48.8566, 2.35222 "
Montreal,Canada,Drought,Do not know,Medium,Increasing,Do not know,2069849,"45.5087, -73.554 "
Montreal,Canada,Extreme heat,High,Medium,Increasing,Increasing,2069849,"45.5087, -73.554 "
Montreal,Canada,Heavy precipitation,High,Medium,Increasing,Increasing,2069849,"45.5087, -73.554 "
Montreal,Canada,River flooding,Do not know,Medium Low,Do not know,Do not know,2069849,"45.5087, -73.554 "
Accra,Ghana,Urban flooding,High,High,Increasing,,2036889,"5.56543, -0.16819 "
Curitiba,Brazil,Drought,Do not know,Do not know,Do not know,Increasing,1967291,"-25.4311, -49.2647 "
Curitiba,Brazil,Extreme heat,Medium,Medium,Increasing,Increasing,1967291,"-25.4311, -49.2647 "
Curitiba,Brazil,Extreme wind,Do not know,Do not know,Do not know,Do not know,1967291,"-25.4311, -49.2647 "
Curitiba,Brazil,Heavy precipitation,High,High,Increasing,Increasing,1967291,"-25.4311, -49.2647 "
Curitiba,Brazil,Mass movement,Medium Low,Low,Do not know,Increasing,1967291,"-25.4311, -49.2647 "
Curitiba,Brazil,Urban flooding,High,High,Increasing,Increasing,1967291,"-25.4311, -49.2647 "
Warsaw,Poland,Drought,Medium,Medium,Increasing,Increasing,1863056,"52.2297, 21.0122 "
Warsaw,Poland,Extreme heat,Medium,Medium,Increasing,Increasing,1863056,"52.2297, 21.0122 "
Warsaw,Poland,Heavy precipitation,Medium,High,Increasing,Increasing,1863056,"52.2297, 21.0122 "
Warsaw,Poland,River flooding,High,High,Increasing,Decreasing,1863056,"52.2297, 21.0122 "
Kuala Lumpur,Malaysia,Drought,Medium Low,Medium Low,Increasing,Increasing,1766700,"3.139, 101.687 "
Kuala Lumpur,Malaysia,Extreme heat,Medium Low,Medium Low,Increasing,Increasing,1766700,"3.139, 101.687 "
Kuala Lumpur,Malaysia,Urban flooding,Medium Low,Medium,Increasing,Increasing,1766700,"3.139, 101.687 "
Phoenix,United States of America,Drought,High,Medium Low,Increasing,Increasing,1680992,"33.4484, -112.074 "
Phoenix,United States of America,Extreme heat,High,Medium,Increasing,Increasing,1680992,"33.4484, -112.074 "
Phoenix,United States of America,Heat stress,High,Medium,Increasing,Decreasing,1680992,"33.4484, -112.074 "
Phoenix,United States of America,Infectious disease,Low,Low,Increasing,Increasing,1680992,"33.4484, -112.074 "
Phoenix,United States of America,Urban flooding,Medium High,Medium High,Increasing,Increasing,1680992,"33.4484, -112.074 "
Auckland,New Zealand,Coastal flooding,Medium,Medium High,Increasing,Increasing,1680500,"-36.8153, 174.742 "
Auckland,New Zealand,Drought,High,Medium High,Increasing,Increasing,1680500,"-36.8153, 174.742 "
Auckland,New Zealand,Extreme heat,Medium High,Medium,Increasing,Increasing,1680500,"-36.8153, 174.742 "
Auckland,New Zealand,Extreme wind,Medium High,Medium,Increasing,Increasing,1680500,"-36.8153, 174.742 "
Auckland,New Zealand,Fire weather (risk of wildfires),Medium,Low,Increasing,Increasing,1680500,"-36.8153, 174.742 "
Auckland,New Zealand,Mass movement,High,Medium,Increasing,Increasing,1680500,"-36.8153, 174.742 "
Auckland,New Zealand,Storm,Medium High,Medium High,Increasing,Increasing,1680500,"-36.8153, 174.742 "
Auckland,New Zealand,Urban flooding,High,Medium High,Increasing,Increasing,1680500,"-36.8153, 174.742 "
Barcelona,Spain,Air pollution,Medium High,Medium Low,None,None,1636732,"41.3823, 2.1775 "
Barcelona,Spain,Biodiversity loss,Medium High,Medium,Increasing,Increasing,1636732,"41.3823, 2.1775 "
Barcelona,Spain,Coastal flooding,Medium Low,Medium,Increasing,,1636732,"41.3823, 2.1775 "
Barcelona,Spain,Drought,Medium High,High,Increasing,,1636732,"41.3823, 2.1775 "
Barcelona,Spain,Extreme heat,High,Medium High,Increasing,Increasing,1636732,"41.3823, 2.1775 "
Barcelona,Spain,Fire weather (risk of wildfires),Medium High,Medium High,Increasing,,1636732,"41.3823, 2.1775 "
Barcelona,Spain,Heavy precipitation,Medium High,Medium High,Increasing,Increasing,1636732,"41.3823, 2.1775 "
Barcelona,Spain,Infectious disease,Medium High,Medium High,Increasing,,1636732,"41.3823, 2.1775 "
Barcelona,Spain,River flooding,Low,Medium High,Increasing,,1636732,"41.3823, 2.1775 "
Barcelona,Spain,Storm,High,Medium High,Increasing,,1636732,"41.3823, 2.1775 "
Philadelphia,United States of America,Coastal flooding,Medium Low,Medium High,Increasing,Increasing,1576251,"39.9523, -75.1638 "
Philadelphia,United States of America,Extreme heat,Medium High,High,Increasing,Increasing,1576251,"39.9523, -75.1638 "
Philadelphia,United States of America,River flooding,Medium High,High,Increasing,Increasing,1576251,"39.9523, -75.1638 "
Philadelphia,United States of America,Urban flooding,High,Medium High,Increasing,Increasing,1576251,"39.9523, -75.1638 "
Dakar,Senegal,Coastal flooding,High,Medium High,Increasing,Increasing,1438725,"14.7645, -17.366 "
Dakar,Senegal,Drought,Medium Low,Low,Decreasing,Do not know,1438725,"14.7645, -17.366 "
Dakar,Senegal,Extreme heat,High,Medium High,Increasing,Increasing,1438725,"14.7645, -17.366 "
Dakar,Senegal,Heavy precipitation,Medium High,Medium High,Increasing,Increasing,1438725,"14.7645, -17.366 "
Milano,Italy,Coastal flooding,Not expected to impact the jurisdiction within the next 5 years,Not expected to impact the jurisdiction within the next 5 years,Not expected to happen in the future,,1386285,"45.8026, 9.08635 "
Milano,Italy,Drought,Medium,Medium Low,Increasing,,1386285,"45.8026, 9.08635 "
Milano,Italy,Extreme cold,Not expected to impact the jurisdiction within the next 5 years,Not expected to impact the jurisdiction within the next 5 years,Not expected to happen in the future,,1386285,"45.8026, 9.08635 "
Milano,Italy,Extreme heat,High,Medium High,Increasing,Increasing,1386285,"45.8026, 9.08635 "
Milano,Italy,Extreme wind,Medium,Medium High,Do not know,Increasing,1386285,"45.8026, 9.08635 "
Milano,Italy,Fire weather (risk of wildfires),Low,Medium Low,Do not know,,1386285,"45.8026, 9.08635 "
Milano,Italy,Heavy precipitation,High,Medium High,Increasing,Increasing,1386285,"45.8026, 9.08635 "
Milano,Italy,Hurricanes/cyclones/typhoons,Not expected to impact the jurisdiction within the next 5 years,Not expected to impact the jurisdiction within the next 5 years,Not expected to happen in the future,,1386285,"45.8026, 9.08635 "
Milano,Italy,Infectious disease,High,High,Increasing,Increasing,1386285,"45.8026, 9.08635 "
Milano,Italy,Mass movement,Not expected to impact the jurisdiction within the next 5 years,Not expected to impact the jurisdiction within the next 5 years,Not expected to happen in the future,,1386285,"45.8026, 9.08635 "
Milano,Italy,Oceanic events,Not expected to impact the jurisdiction within the next 5 years,Not expected to impact the jurisdiction within the next 5 years,Not expected to happen in the future,,1386285,"45.8026, 9.08635 "
Milano,Italy,River flooding,High,Medium High,Increasing,Increasing,1386285,"45.8026, 9.08635 "
Milano,Italy,Snow and ice,Low,Medium Low,Decreasing,Decreasing,1386285,"45.8026, 9.08635 "
Milano,Italy,Storm,Not expected to impact the jurisdiction within the next 5 years,Not expected to impact the jurisdiction within the next 5 years,Not expected to happen in the future,,1386285,"45.8026, 9.08635 "
Milano,Italy,Urban flooding,Medium High,Medium,Increasing,Increasing,1386285,"45.8026, 9.08635 "
Milano,Italy,Water stress,Medium,Medium,Increasing,Increasing,1386285,"45.8026, 9.08635 "
Austin,United States of America,Drought,High,Medium,Increasing,Increasing,1272018,"30.2672, -97.7431 "
Austin,United States of America,Extreme cold,Medium Low,High,None,Increasing,1272018,"30.2672, -97.7431 "
Austin,United States of America,Extreme heat,High,High,Increasing,Increasing,1272018,"30.2672, -97.7431 "
Austin,United States of America,Fire weather (risk of wildfires),High,High,Increasing,Increasing,1272018,"30.2672, -97.7431 "
Austin,United States of America,Urban flooding,High,High,Increasing,Increasing,1272018,"30.2672, -97.7431 "
Freetown,Sierra Leone,Coastal flooding,High,High,Increasing,Increasing,1200000,"8.4657, -13.2317 "
Freetown,Sierra Leone,Extreme heat,Medium High,High,Increasing,Increasing,1200000,"8.4657, -13.2317 "
Freetown,Sierra Leone,Heavy precipitation,High,Medium High,Increasing,Increasing,1200000,"8.4657, -13.2317 "
Freetown,Sierra Leone,Mass movement,High,High,Increasing,Increasing,1200000,"8.4657, -13.2317 "
Freetown,Sierra Leone,Urban flooding,High,Medium High,Increasing,Increasing,1200000,"8.4657, -13.2317 "
Stockholm,Sweden,Extreme heat,High,Medium High,Increasing,Increasing,978770,"59.3293, 18.0686 "
Stockholm,Sweden,Heavy precipitation,High,High,Increasing,Increasing,978770,"59.3293, 18.0686 "
Stockholm,Sweden,Urban flooding,Medium,Medium,Increasing,Increasing,978770,"59.3293, 18.0686 "
Amsterdam,Netherlands,Coastal flooding,Low,Low,Increasing,,881933,"52.3702, 4.89516 "
Amsterdam,Netherlands,Drought,Medium,Medium High,Increasing,,881933,"52.3702, 4.89516 "
Amsterdam,Netherlands,Extreme heat,High,Medium Low,Increasing,,881933,"52.3702, 4.89516 "
Amsterdam,Netherlands,Heavy precipitation,Medium,Medium High,Increasing,,881933,"52.3702, 4.89516 "
Amsterdam,Netherlands,River flooding,Low,Low,Increasing,,881933,"52.3702, 4.89516 "
San Francisco,United States of America,Coastal flooding,Medium High,Medium,Increasing,Increasing,873965,"37.7749, -122.419 "
San Francisco,United States of America,Drought,Medium High,Medium,Increasing,Increasing,873965,"37.7749, -122.419 "
San Francisco,United States of America,Extreme heat,High,Medium,Increasing,Increasing,873965,"37.7749, -122.419 "
San Francisco,United States of America,Fire weather (risk of wildfires),High,Medium,Increasing,Increasing,873965,"37.7749, -122.419 "
San Francisco,United States of America,Heavy precipitation,Medium High,Medium,Increasing,Do not know,873965,"37.7749, -122.419 "
San Francisco,United States of America,Other coastal events,Low,Low,Increasing,Increasing,873965,"37.7749, -122.419 "
"Portland, OR",United States of America,Extreme heat,High,High,Increasing,Increasing,829560,"45.52, -122.682 "
"Portland, OR",United States of America,Mass movement,High,Medium,Increasing,Increasing,829560,"45.52, -122.682 "
"Portland, OR",United States of America,Urban flooding,High,Medium High,Increasing,Increasing,829560,"45.52, -122.682 "
Seattle,United States of America,Coastal flooding,High,High,Increasing,Increasing,737015,"47.6062, -122.332 "
Seattle,United States of America,Extreme heat,Medium,High,Increasing,Increasing,737015,"47.6062, -122.332 "
Seattle,United States of America,Urban flooding,High,Medium High,Increasing,Increasing,737015,"47.6062, -122.332 "
Oslo,Norway,Coastal flooding,Medium Low,Medium Low,Increasing,Increasing,699027,"59.9139, 10.7522 "
Oslo,Norway,Drought,Medium,Medium,Increasing,Increasing,699027,"59.9139, 10.7522 "
Oslo,Norway,Fire weather (risk of wildfires),Medium,Medium High,Increasing,Increasing,699027,"59.9139, 10.7522 "
Oslo,Norway,Heat stress,Medium Low,Medium,Increasing,Increasing,699027,"59.9139, 10.7522 "
Oslo,Norway,Heavy precipitation,Medium High,Medium High,Increasing,Increasing,699027,"59.9139, 10.7522 "
Oslo,Norway,Mass movement,Medium Low,Medium Low,None,Increasing,699027,"59.9139, 10.7522 "
Oslo,Norway,River flooding,Medium,Medium,Increasing,Increasing,699027,"59.9139, 10.7522 "
"Washington, DC",United States of America,Coastal flooding,High,High,Increasing,Increasing,690093,"38.9072, -77.0369 "
"Washington, DC",United States of America,Extreme heat,High,High,Increasing,Increasing,690093,"38.9072, -77.0369 "
"Washington, DC",United States of America,Heavy precipitation,High,Medium,Increasing,Increasing,690093,"38.9072, -77.0369 "
"Washington, DC",United States of America,Hurricanes/cyclones/typhoons,Medium,High,Increasing,Increasing,690093,"38.9072, -77.0369 "
"Washington, DC",United States of America,River flooding,High,High,Increasing,Increasing,690093,"38.9072, -77.0369 "
"Washington, DC",United States of America,Urban flooding,High,High,Increasing,Increasing,690093,"38.9072, -77.0369 "
Boston,United States of America,Coastal flooding,Medium High,High,Increasing,Increasing,675647,"42.3584, -71.0598 "
Boston,United States of America,Extreme heat,Medium,Medium High,Increasing,Increasing,675647,"42.3584, -71.0598 "
Boston,United States of America,Heavy precipitation,Medium High,Medium,Increasing,Increasing,675647,"42.3584, -71.0598 "
Boston,United States of America,River flooding,Medium Low,Not expected to impact the jurisdiction within the next 5 years,Increasing,Increasing,675647,"42.3584, -71.0598 "
Boston,United States of America,Snow and ice,Medium,Medium,Increasing,Increasing,675647,"42.3584, -71.0598 "
Boston,United States of America,Storm,Medium,High,Increasing,Increasing,675647,"42.3584, -71.0598 "
Vancouver,Canada,Coastal flooding,Low,High,Increasing,Increasing,654000,"49.2612, -123.114 "
Vancouver,Canada,Drought,Medium Low,Medium Low,Increasing,Increasing,654000,"49.2612, -123.114 "
Vancouver,Canada,Extreme heat,Medium High,Medium High,Increasing,Increasing,654000,"49.2612, -123.114 "
Vancouver,Canada,Extreme wind,Low,Medium,Increasing,Increasing,654000,"49.2612, -123.114 "
Vancouver,Canada,Fire weather (risk of wildfires),High,High,Increasing,Increasing,654000,"49.2612, -123.114 "
Vancouver,Canada,Heavy precipitation,High,Medium Low,Increasing,Increasing,654000,"49.2612, -123.114 "
Vancouver,Canada,Infectious disease,Medium Low,Do not know,Do not know,Increasing,654000,"49.2612, -123.114 "
Vancouver,Canada,Storm,Medium Low,High,Increasing,Increasing,654000,"49.2612, -123.114 "
Vancouver,Canada,Urban flooding,Medium,Medium,Increasing,Increasing,654000,"49.2612, -123.114 "
Rotterdam,Netherlands,Coastal flooding,Medium Low,High,Increasing,Increasing,651269,"51.9164, 4.45093 "
Rotterdam,Netherlands,Drought,Medium,Medium,Do not know,Increasing,651269,"51.9164, 4.45093 "
Rotterdam,Netherlands,Heat stress,Medium,Medium Low,Increasing,Increasing,651269,"51.9164, 4.45093 "
Rotterdam,Netherlands,Heavy precipitation,Medium High,Medium,Increasing,Increasing,651269,"51.9164, 4.45093 "
Rotterdam,Netherlands,Increased water demand,Medium Low,Low,Increasing,Increasing,651269,"51.9164, 4.45093 "
Rotterdam,Netherlands,River flooding,Medium Low,High,Increasing,Increasing,651269,"51.9164, 4.45093 "
Rotterdam,Netherlands,Storm,Medium High,High,Increasing,Do not know,651269,"51.9164, 4.45093 "
Copenhagen,Denmark,Coastal flooding,Medium,Medium,Increasing,Increasing,644425,"55.6761, 12.5683 "
Copenhagen,Denmark,Extreme heat,Medium Low,Medium Low,Increasing,Increasing,644425,"55.6761, 12.5683 "
Copenhagen,Denmark,Heavy precipitation,High,High,Increasing,Increasing,644425,"55.6761, 12.5683 "
Copenhagen,Denmark,Storm,Medium,Medium,Increasing,Increasing,644425,"55.6761, 12.5683 "
Athens,Greece,Drought,High,Medium,Increasing,Increasing,640255,"37.9838, 23.7275 "
Athens,Greece,Extreme heat,High,High,Increasing,Increasing,640255,"37.9838, 23.7275 "
Athens,Greece,Heat stress,High,High,Increasing,Increasing,640255,"37.9838, 23.7275 "
Athens,Greece,Urban flooding,Medium,Medium,Increasing,Increasing,640255,"37.9838, 23.7275 "
Lisbon,Portugal,Drought,Medium Low,Low,Increasing,,547733,"38.7223, -9.13933 "
Lisbon,Portugal,Extreme heat,High,Medium High,Increasing,Increasing,547733,"38.7223, -9.13933 "
Lisbon,Portugal,Extreme wind,Medium High,Medium High,Increasing,,547733,"38.7223, -9.13933 "
Lisbon,Portugal,Heavy precipitation,Medium High,Medium High,Increasing,,547733,"38.7223, -9.13933 "
Lisbon,Portugal,Urban flooding,Medium High,Medium High,Increasing,Increasing,547733,"38.7223, -9.13933 "
Tel Aviv-Yafo,Israel,Coastal flooding,Medium,Medium,Increasing,,463810,"32.0816, 34.7823 "
Tel Aviv-Yafo,Israel,Drought,Medium,Medium,Increasing,,463810,"32.0816, 34.7823 "
Tel Aviv-Yafo,Israel,Extreme heat,High,High,Increasing,Increasing,463810,"32.0816, 34.7823 "
Tel Aviv-Yafo,Israel,Heavy precipitation,Medium High,Medium High,Increasing,Increasing,463810,"32.0816, 34.7823 "
Miami,United States of America,Coastal flooding,,,,,456923,"25.7617, -80.1918 "
Miami,United States of America,Extreme heat,High,,,,456923,"25.7617, -80.1918 "
Miami,United States of America,Heavy precipitation,High,Medium,Increasing,,456923,"25.7617, -80.1918 "
Miami,United States of America,Hurricanes/cyclones/typhoons,High,High,Increasing,,456923,"25.7617, -80.1918 "
Miami,United States of America,Infectious disease,Medium,High,Do not know,,456923,"25.7617, -80.1918 "
Miami,United States of America,Oceanic events,,,,,456923,"25.7617, -80.1918 "
Miami,United States of America,River flooding,,,,,456923,"25.7617, -80.1918 "
Miami,United States of America,Storm,High,High,Increasing,,456923,"25.7617, -80.1918 "
Miami,United States of America,Urban flooding,,,,,456923,"25.7617, -80.1918 "
New Orleans,United States of America,Coastal flooding,High,High,Increasing,Increasing,383997,"29.9511, -90.0715 "
New Orleans,United States of America,Extreme cold,Medium Low,Medium High,Do not know,Increasing,383997,"29.9511, -90.0715 "
New Orleans,United States of America,Extreme heat,High,Medium High,Increasing,Increasing,383997,"29.9511, -90.0715 "
New Orleans,United States of America,Heavy precipitation,High,Medium High,Decreasing,Increasing,383997,"29.9511, -90.0715 "
New Orleans,United States of America,Hurricanes/cyclones/typhoons,High,High,Increasing,Increasing,383997,"29.9511, -90.0715 "
New Orleans,United States of America,Infectious disease,Medium,Medium High,Increasing,Increasing,383997,"29.9511, -90.0715 "
New Orleans,United States of America,Storm,Medium High,High,Increasing,Increasing,383997,"29.9511, -90.0715 "
New Orleans,United States of America,Urban flooding,High,Medium High,Increasing,Increasing,383997,"29.9511, -90.0715 "
Sydney,Australia,Drought,Medium High,Medium High,Increasing,Increasing,267014,"-33.8675, 151.207 "
Sydney,Australia,Extreme heat,Medium High,Medium,Increasing,Increasing,267014,"-33.8675, 151.207 "
Sydney,Australia,Extreme heat,High,High,Increasing,Increasing,267014,"-33.8675, 151.207 "
Sydney,Australia,Extreme wind,Medium,High,Increasing,Do not know,267014,"-33.8675, 151.207 "
Sydney,Australia,Fire weather (risk of wildfires),Medium High,Medium High,Increasing,Increasing,267014,"-33.8675, 151.207 "
Sydney,Australia,Heat stress,High,High,Increasing,Increasing,267014,"-33.8675, 151.207 "
Sydney,Australia,Heavy precipitation,Medium,Medium High,Increasing,Increasing,267014,"-33.8675, 151.207 "
Sydney,Australia,Heavy precipitation,High,Medium High,Increasing,Increasing,267014,"-33.8675, 151.207 "
Sydney,Australia,Oceanic events,Not expected to impact the jurisdiction within the next 5 years,Not expected to impact the jurisdiction within the next 5 years,Increasing,Increasing,267014,"-33.8675, 151.207 "
Sydney,Australia,Storm,Medium High,High,Increasing,Increasing,267014,"-33.8675, 151.207 "
Sydney,Australia,Urban flooding,Medium High,High,Increasing,Increasing,267014,"-33.8675, 151.207 "
Melbourne,Australia,Coastal flooding,High,High,Increasing,Increasing,169860,"-37.8144, 144.967 "
Melbourne,Australia,Drought,High,High,Increasing,,169860,"-37.8144, 144.967 "
Melbourne,Australia,Extreme heat,High,High,Increasing,Increasing,169860,"-37.8144, 144.967 "
Melbourne,Australia,Heavy precipitation,High,High,Increasing,,169860,"-37.8144, 144.967 "
Melbourne,Australia,Urban flooding,High,High,Increasing,,169860,"-37.8144, 144.967 "
Heidelberg,Germany,Heat stress,Medium High,Medium High,Increasing,Increasing,146034,"49.3988, 8.67243 "
Heidelberg,Germany,Heavy precipitation,Medium,Medium Low,Increasing,Increasing,146034,"49.3988, 8.67243 "
Heidelberg,Germany,River flooding,Medium High,Medium,Increasing,Increasing,146034,"49.3988, 8.67243 "
Qingdao,China,Storm,Medium,Medium High,Increasing,,0,"36.1105, 120.356 "